ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
233,Eminonu Acik Otoparki,Eminonu Aci,Acik Otopark,300,12:00:00 AM,11:59:00 PM,Fatih,28.96903911,41.01895868
234,Bostanci Acik,Bostanci Aci,Acik Otopark,375,12:00:00 AM,11:59:00 PM,Kadikoy,29.09018409,40.9523622
235,Besiktas Halk Pazari 1,Besiktas Halk Pazar,Kapali Otopark,200,12:00:00 AM,11:59:00 PM,Besiktas,29.00062578,41.04970881
236,Kutlugun Sokak 1,Kutlugun Soka,Yol Ustu,200,8:00:00 AM,2:00:00 AM,Fatih,28.9811458,41.00700333
237,Pasalimani Caddesi 1,Pasalimani Caddes,Yol Ustu,30,7:00:00 AM,5:00:00 PM,Uskudar,29.02354178,41.03242786
238,Haci Pervane Caddesi 1,Silivri Haci Pervane Caddes,Yol Ustu,35,9:00:00 AM,5:30:00 PM,Silivri,28.24776003,41.07443858
239,Kalamis Fener Caddesi 1,Kalamis Fener Caddes,Yol Ustu,26,9:00:00 AM,7:00:00 PM,Kadikoy,29.03987617,40.97237428
240,Eski Sali Pazari,Eski Sali Pazar,Acik Otopark,760,12:00:00 AM,11:59:00 PM,Kadikoy,29.03334587,40.99070267
241,Nadide Sokak 1,Nadide Soka,Yol Ustu,45,8:00:00 AM,6:00:00 PM,Gungoren,28.89075994,41.00944698
242,Gunes Plaji 1,Gunes Plaji ,Acik Otopark,250,12:00:00 AM,11:59:00 PM,Bakirkoy,28.79036922,40.97156005
243,Besiktas Barbaros Bulvari Taksi Duragi,Besiktas Barboros Bulvari Taksi Durag,Taksi Park,10,7:00:00 AM,5:00:00 PM,Besiktas,29.00710293,41.04281872
244,Kalamis Acik Otoparki,Kalamis Acik Otopark,Acik Otopark,170,12:00:00 AM,11:59:00 PM,Kadikoy,29.03600693,40.96855762
245,Eminonu Acik Otoparki,Eminonu Aci,Acik Otopark,280,12:00:00 AM,11:59:00 PM,Fatih,28.96927684,41.01841379
246,Kadikoy Acik Otoparki,Kadikoy Acik Otopark,Acik Otopark,1004,12:00:00 AM,11:59:00 PM,Kadikoy,29.01844474,40.989991
247,Merter Katli Otoparki,Merter Katl,Kapali Otopark,1000,12:00:00 AM,11:59:00 PM,Gungoren,28.88739109,41.00916362
248,Karakoy Katli,Karakoy Katl,Kapali Otopark,600,12:00:00 AM,11:59:00 PM,Beyoglu,28.97725014,41.0229403
249,Fatih Katli Otoparki,Fatih Katli Otopark,Kapali Otopark,118,12:00:00 AM,11:59:00 PM,Fatih,28.93966398,41.01972869
250,Suadiye Cep Acik Otoparki,Suadiye Ce,Acik Otopark,130,12:00:00 AM,11:59:00 PM,Kadikoy,29.07340454,40.95855911
251,Vali Konagi Muze Onu 1,Vali Konagi Caddesi Muze On,Yol Ustu,35,8:00:00 AM,7:00:00 PM,Sisli,28.98821208,41.04945792
252,Hidiv Kasri,Hidiv Kasr,Acik Otopark,130,8:00:00 AM,11:00:00 PM,Beykoz,29.07555196,41.10348001
